epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,105.595,1.60108,0.00588,0.65882,3.15245,0.000299393,0.000299393,0.000299393
2,213.006,0.55493,0,0.67647,6.88209,0.000590465,0.000590465,0.000590465
3,301.381,0.31006,0,0.73529,8.40662,0.000869539,0.000869539,0.000869539
4,389.844,0.22778,0,0.72353,8.41091,0.000855005,0.000855005,0.000855005
5,471.749,0.2181,0,0.63529,9.36156,0.000837007,0.000837007,0.000837007
6,563.059,0.17704,0,0.70588,9.98181,0.000819009,0.000819009,0.000819009
7,650.111,0.16262,0,0.68235,10.829,0.000801011,0.000801011,0.000801011
8,748.162,0.12967,0.00588,0.78235,9.64566,0.000783013,0.000783013,0.000783013
9,865.184,0.10861,0.00588,0.76471,10.3917,0.000765014,0.000765014,0.000765014
10,957.24,0.11019,0,0.71765,11.0112,0.000747016,0.000747016,0.000747016
11,1042.51,0.09587,0,0.75294,11.1647,0.000729018,0.000729018,0.000729018
12,1127.63,0.10365,0,0.75882,11.4374,0.00071102,0.00071102,0.00071102
13,1293.29,0.07179,0,0.71765,11.7887,0.000693022,0.000693022,0.000693022
14,1392.5,0.06779,0,0.72941,12.7739,0.000675023,0.000675023,0.000675023
15,1486.25,0.07078,0,0.72941,12.1426,0.000657025,0.000657025,0.000657025
16,1575.69,0.08121,0,0.64706,11.9862,0.000639027,0.000639027,0.000639027
17,1676.95,0.0741,0,0.74118,11.6871,0.000621029,0.000621029,0.000621029
18,1768.72,0.05801,0,0.74706,12.4956,0.000603031,0.000603031,0.000603031
19,1870.81,0.05641,0,0.68824,12.3381,0.000585032,0.000585032,0.000585032
20,1949.57,0.03601,0,0.67059,13.1873,0.000567034,0.000567034,0.000567034
21,2029.83,0.04649,0.00588,0.66471,13.0545,0.000549036,0.000549036,0.000549036
22,2111.85,0.06104,0.00588,0.65882,13.382,0.000531038,0.000531038,0.000531038
23,2188.99,0.04833,0,0.67059,12.8297,0.00051304,0.00051304,0.00051304
24,2262.94,0.04163,0.00588,0.68824,13.6151,0.000495041,0.000495041,0.000495041
25,2340.83,0.05181,0,0.63529,14.4372,0.000477043,0.000477043,0.000477043
26,2420.13,0.04505,0,0.60588,15.0676,0.000459045,0.000459045,0.000459045
27,2503.87,0.04101,0,0.67059,13.6712,0.000441047,0.000441047,0.000441047
28,2584.13,0.04255,0,0.70588,13.6953,0.000423049,0.000423049,0.000423049
29,2666.01,0.04287,0,0.71176,13.901,0.00040505,0.00040505,0.00040505
30,2746.58,0.03276,0,0.67059,14.0806,0.000387052,0.000387052,0.000387052
31,2835.66,0.03327,0,0.66471,14.6395,0.000369054,0.000369054,0.000369054
32,2919.06,0.03372,0,0.68824,13.717,0.000351056,0.000351056,0.000351056
33,2995.94,0.02538,0,0.7,13.6175,0.000333058,0.000333058,0.000333058
34,3070.75,0.03384,0,0.68235,13.1243,0.000315059,0.000315059,0.000315059
35,3144.71,0.03369,0,0.7,13.1995,0.000297061,0.000297061,0.000297061
36,3218.37,0.02897,0,0.72941,13.0918,0.000279063,0.000279063,0.000279063
37,3290.79,0.0234,0,0.68824,13.6262,0.000261065,0.000261065,0.000261065
38,3360.23,0.03605,0,0.68235,13.99,0.000243067,0.000243067,0.000243067
39,3428.98,0.02653,0,0.66471,14.1507,0.000225068,0.000225068,0.000225068
40,3497.08,0.03539,0,0.67647,13.737,0.00020707,0.00020707,0.00020707
41,3575.13,0.02245,0,0.71176,13.6856,0.000189072,0.000189072,0.000189072
42,3653.93,0.02775,0,0.67647,13.9526,0.000171074,0.000171074,0.000171074
43,3745.75,0.03532,0,0.70588,13.6836,0.000153076,0.000153076,0.000153076
44,3840.05,0.01909,0,0.69412,13.5729,0.000135077,0.000135077,0.000135077
45,3945.39,0.01928,0,0.69412,13.7665,0.000117079,0.000117079,0.000117079
46,4039.73,0.02644,0,0.70588,13.729,9.9081e-05,9.9081e-05,9.9081e-05
47,4126.06,0.01757,0,0.71176,13.3827,8.10828e-05,8.10828e-05,8.10828e-05
48,4208.92,0.0249,0,0.70588,13.5409,6.30846e-05,6.30846e-05,6.30846e-05
49,4277.92,0.02249,0,0.72353,13.5192,4.50864e-05,4.50864e-05,4.50864e-05
50,4364.53,0.01386,0,0.7,13.6691,2.70882e-05,2.70882e-05,2.70882e-05
